БИН,ЗНМ,Касса,Чек,Наименование товара,Цена за единиц,Кол-во,Сумма,Дата и Время,Адрес
080841000761,SWK00034961,300-189, №2331180266,"Натрия хлорид 0,9%, 200 мл, фл","154,00","2,000","308,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"Борный спирт 3%, 20 мл, фл.","51,00","1,000","51,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"Шприц 2 мл, 3-х комп. (Bioject)","16,00","2,000","32,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Система для инфузии Vogt Medical,"60,00","2,000","120,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Naturella прокладки Классик макси №8,"310,00","1,000","310,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,AURA Ватные диски №150,"461,00","1,000","461,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Чистая линия скраб мягкий 50 мл,"381,00","1,000","381,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Чистая линия  скраб очищающийабрикос 50 мл,"386,00","1,000","386,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Чистая линия скраб мягкий 50 мл,"381,00","1,000","381,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Carefree салфетки Алоэвоздухопроницаемые №20,"414,00","1,000","414,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Pro Series Шампунь яркий цвет 500мл,"841,00","1,000","841,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Pro Series бальзам-ополаскивательдля длител ухода за окрашеннымиволосами Яркий цвет 500мл,"841,00","1,000","841,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,Clear шампунь Актив спорт 2в1мужской  400 мл,"1 200,00","1,000","1 200,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"Bio World (HYDRO THERAPY)Мицеллярная вода 5в1, 445мл","1 152,00","1,000","1 152,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"Bio World (HYDRO THERAPY) Гель-муссдля умывания с гиалуроновойкислотой, 250мл","1 152,00","1,000","1 152,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"[RX]-Натрия хлорид 0,9%, 100 мл, фл.","168,00","1,000","168,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"[RX]-Дисоль р-р 400 мл, фл.","163,00","1,000","163,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"Тагансорбент с иономи серебра №30,пор.","1 526,00","1,000","1 526,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"[RX]-Церукал 2%, 2 мл, №10, амп.","396,00","2,000","792,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
080841000761,SWK00034961,300-189, №2331180266,"[RX]-Андазол 200 мг, №40, табл.","7 330,00","1,000","7 330,00",: 18.04.2019 11:13:58,"г. Нур-султан,Казахстан, Мангилик Ел,19, нп-5"
